constant,uses,assay_local_agent,rationale
dyad_depth_states,"",false,"Preserves the five-state Sim-5-form categorical depth posterior."
dyad_learning_rate,"shared-equations",false,"Inherited from Experiment 49's canonicalized Sim-5 mapping update."
dyad_mapping_prior_count,"",false,"Uses a symmetric neutral count prior for learned signal-to-settling mappings."
dyad_packet_mass,"shared-equations",false,"Converts accumulated relational field weight into discrete evidence packets."
dyad_regulated_floor,"shared-equations",false,"Inherited from Experiment 49's low-depth regulated likelihood."
dyad_regulated_span,"shared-equations",false,"Spans Experiment 49's low-to-high regulated likelihood across depth."
episodes,"",false,"Provides a shared finite developmental and experimental horizon."
field_broadcast_mix,"shared-equations",false,"Inherited from the global-precision-field construction's shared correlation."
field_context_precision,"shared-equations",false,"Inherited from Experiment 49's Sim-5-form context precision."
field_learning_rate,"shared-equations",false,"Keeps the five-channel field responsive across a finite evidence budget."
field_narrowing_strength,"shared-equations",false,"Creates a non-saturated intervention on channel breadth for prospective field-narrowing tests."
field_part_precision,"shared-equations",false,"Inherited from Experiment 49's Sim-5-form part precision."
field_relational_precision,"shared-equations",false,"Inherited from Experiment 49's Sim-5-form co-regulation precision."
freeze_low_control_boundary,"shared-equations",false,"Defines the authored low-control side of the one-step freeze write."
freeze_no_control_attenuation,"shared-equations",false,"Implements the specified attenuation at the no-control edge."
freeze_overwhelm_boundary,"shared-equations",false,"Defines the authored high-overwhelm side of the one-step freeze write."
freeze_write_precision,"shared-equations",false,"Makes the stipulated episodic write high precision while remaining numerically finite."
generator_change_after,"",false,"Defines the post-change mean for the change-point family."
generator_change_before,"",false,"Defines the pre-change mean for the change-point family."
generator_context_amplitude,"",false,"Defines symmetric then/now and drift endpoints."
generator_cue_amplitude,"",false,"Defines alternating cue-local structure."
generator_global_sd,"",false,"Defines the low-amplitude global down-weight generator."
generator_noise_sd,"",false,"Adds matched observation noise to structured generator families."
high_stakes,"",false,"Provides the high member of the analytic stakes-permission property domain."
history_cost_sd,"shared-equations",false,"Adds overlap to learned policy costs so selection is not assigned by a label."
history_favorable_cost,"shared-equations",false,"Defines the low developmental direct-cost population for the history-favored policy."
history_favorable_success,"shared-equations",false,"Makes the history-favored policy reliable but fallible."
history_learning_rate,"shared-equations",false,"Prevents a single developmental event from fixing a mature posterior."
history_root_positive_rate,"shared-equations",false,"Generates a mature negative-root history without directly assigning its posterior."
history_unfavorable_cost,"shared-equations",false,"Defines the comparison developmental direct-cost population."
history_unfavorable_success,"shared-equations",false,"Keeps alternative-policy reliability histories ambiguous."
hope_value,"shared-equations",false,"Balances learned risk against refusal without adding an obsolescence bonus."
imaginal_floor,"shared-equations",false,"Inherited from Experiment 44b's reduced-model imaginal outcome equation."
imaginal_span,"shared-equations",false,"Inherited from Experiment 44b's root-dependent imaginal outcome equation."
low_stakes,"",false,"Provides the low member of the analytic stakes-permission property domain."
neutral_probability,"",false,"All psychologically meaningful posterior coordinates start from an uninformative Bernoulli prior."
open_loop_evidence_breadth,"",false,"Makes ordinary replay informative without matching closed-loop control."
outcome_risk_weight,"shared-equations",false,"Retains the outcome-forecast route in protector risk."
partner_adverse_probability,"shared-equations",false,"Mirrors trustworthy evidence for the adverse latent partner."
partner_classification_margin,"",false,"Defines trustworthy/adverse recovery away from the neutral posterior."
partner_neutral_band,"",false,"Defines an intentionally broad neutral recovery interval under noisy history."
partner_neutral_probability,"shared-equations",false,"Defines the uninformative latent partner disposition."
partner_risk_weight,"shared-equations",false,"Retains the inferred partner-model route in protector risk."
partner_trustworthy_probability,"shared-equations",false,"Generates informative but noisy outcomes for trustworthy latent partners."
permission_temperature,"shared-equations",false,"Inherited from Experiment 47's frozen soft expected-cost decision."
permission_threshold,"",false,"Inherited from Experiment 49's gate-equals-permission crossing."
pilot_seed_assay_stride,"",false,"Keeps assay pilot blocks disjoint."
pilot_seed_base,"",false,"Places all descriptive pilot blocks well below the evaluator-reserved range."
pilot_worlds,"protocol",false,"Keeps Phase-0 and descriptive pilot blocks small while exposing saturation and variance."
policy_failure_cost,"shared-equations",false,"Normalizes learned policy reliability into the same expected-cost scale as direct cost."
postrevision_root_probability,"",false,"Places post-revision do-over above the completed-revision crossing."
premature_root_probability,"",false,"Places premature do-over below the analytic crossover."
probability_guard,"shared-equations",false,"Keeps log odds finite without changing scientific decisions."
property_grid_delta,"",false,"Places property points immediately below authored decision boundaries."
property_grid_high_offset,"",false,"Places a clearly suprathreshold property point without changing the boundary."
property_grid_points,"protocol",false,"Provides a broad frozen domain for analytic property checks."
rate_worlds,"protocol",false,"Falls within the specification's 60–100 confirmatory-world range for stochastic rates."
refusal_cost,"shared-equations",false,"Makes refusal a costly protective policy rather than a completion rule."
regime_observation_sd,"",false,"Supplies nonzero held-out variation around the four field regimes."
regime_observations,"",false,"Balances the two-dimensional and scalar comparators at the same evidence budget."
registration_increment,"shared-equations",false,"Makes each registered suppression informative without assigning the endpoint."
regulation_uptake_bonus,"",false,"Lets regulation alter matched-evidence uptake through the field."
reserved_seed_floor,"",false,"Implements the evaluator's confirmatory seed reservation boundary."
rng_analysis_offset,"",false,"Reserves a distinct stream for descriptive resampling and intervals."
rng_field_offset,"",false,"Separates field observations while preserving pairing across arms."
rng_history_offset,"shared-equations",false,"Separates developmental-history generation from worlds."
rng_partner_offset,"",false,"Separates latent partner generation from all agent updates."
rng_policy_offset,"",false,"Separates policy-learning histories from experimental outcomes."
rng_substream_stride,"",false,"Separates named generator families and partner dispositions within a component stream."
rng_world_offset,"",false,"Separates world generation from other component streams."
root_evidence_weight,"shared-equations",false,"Inherited from Experiment 49's likelihood-weighted witnessing adapter."
root_prior_probability,"",false,"Inherited from Experiment 44b's frozen negative-root prior."
root_revision_begin,"",false,"Inherited from Experiment 44b's frozen revision-begun crossing."
root_revision_complete,"",false,"Inherited from Experiment 44b's frozen completed-revision crossing."
static_tolerance,"",false,"Inherited from Experiment 48's frozen bit-level static-prior tolerance."
suggestion_success_probability,"",false,"Makes suggestion-only packets moderately useful regardless of readiness."
training_events,"shared-equations",false,"Provides enough developmental observations to learn mature beliefs without authored posterior state."
unregulated_uptake,"",false,"Keeps root-relevant evidence usable without regulation."
